assembly_run_ids,study_id
ERR1352962,MGYS00000777
ERR1352903,MGYS00000777
ERR1352906,MGYS00000777
ERR1352908,MGYS00000777
ERR1352909,MGYS00000777
ERR1352932,MGYS00000777
ERR1352934,MGYS00000777
ERR1352935,MGYS00000777
ERR1352937,MGYS00000777
ERR1352940,MGYS00000777
ERR1352942,MGYS00000777
ERR1352943,MGYS00000777
ERR1352946,MGYS00000777
ERR1352912,MGYS00000777
ERR1352913,MGYS00000777
ERR1352928,MGYS00000777
ERR1352929,MGYS00000777
ERR1352947,MGYS00000777
ERR1352950,MGYS00000777
ERR1352916,MGYS00000777
ERR1352918,MGYS00000777
ERR1352920,MGYS00000777
ERR1352921,MGYS00000777
ERR1352924,MGYS00000777
ERR1352925,MGYS00000777
